customer_id,first_name,last_name,email,signup_date,region
1,NameTPP,SurnameVP,nametpp@example.com,2020-03-08,West
2,NameUYE,SurnameZD,nameuye@example.com,2021-07-14,South
3,NameGDH,SurnameDG,namegdh@example.com,2022-08-22,North
4,NameUCB,SurnameXL,nameucb@example.com,2022-04-20,East
5,NameCUZ,SurnameIN,namecuz@example.com,2022-08-06,South
6,NameXWG,SurnameYP,namexwg@example.com,2021-01-30,East
7,NameTXN,SurnameSM,nametxn@example.com,2020-12-31,West
8,NameHOZ,SurnameFZ,namehoz@example.com,2021-05-03,North
9,NameIWA,SurnameIU,nameiwa@example.com,2020-12-21,East
10,NamePQS,SurnameLY,namepqs@example.com,2022-01-01,North
11,NameAZD,SurnameXV,nameazd@example.com,2020-10-17,West
12,NameJNR,SurnameMO,namejnr@example.com,2022-09-06,North
13,NameVOA,SurnameYS,namevoa@example.com,2020-12-30,East
14,NameTRK,SurnameZL,nametrk@example.com,2020-05-03,North
15,NamePCW,SurnamePH,namepcw@example.com,2022-03-17,South
16,NameVDJ,SurnameAE,namevdj@example.com,2021-01-21,West
17,NameNYQ,SurnameMY,namenyq@example.com,2022-08-05,South
18,NameEGE,SurnameLP,nameege@example.com,2022-08-24,North
19,NameZNY,SurnameDR,namezny@example.com,2021-05-28,West
20,NameYCI,SurnameOK,nameyci@example.com,2021-12-08,South
21,NameRAF,SurnameTG,nameraf@example.com,2020-04-02,South
22,NameBBK,SurnameJC,namebbk@example.com,2021-01-01,North
23,NameHBY,SurnameIC,namehby@example.com,2021-04-12,North
24,NameCKJ,SurnameQQ,nameckj@example.com,2021-05-16,South
25,NameWNF,SurnameVC,namewnf@example.com,2021-10-03,East
26,NameQVA,SurnameGN,nameqva@example.com,2022-10-19,West
27,NameGNV,SurnameFQ,namegnv@example.com,2022-03-07,South
28,NameXZY,SurnameQB,namexzy@example.com,2021-06-03,West
29,NameZVR,SurnameCQ,namezvr@example.com,2020-02-20,North
30,NameJEQ,SurnameAJ,namejeq@example.com,2020-09-23,West
31,NameUYB,SurnameKW,nameuyb@example.com,2022-07-26,East
32,NameKHW,SurnameGE,namekhw@example.com,2020-07-04,North
33,NameKVD,SurnameSV,namekvd@example.com,2021-05-27,West
34,NameGHF,SurnameGI,nameghf@example.com,2021-03-16,East
35,NameYXF,SurnameEG,nameyxf@example.com,2020-02-01,South
36,NamePEH,SurnameXC,namepeh@example.com,2020-01-23,East
37,NameRRX,SurnameQV,namerrx@example.com,2020-08-19,West
38,NameHVW,SurnameOS,namehvw@example.com,2020-06-02,North
39,NameLUT,SurnameZJ,namelut@example.com,2020-04-20,North
40,NameCTK,SurnameLX,namectk@example.com,2020-07-04,West
41,NameUTL,SurnameLO,nameutl@example.com,2021-11-22,West
42,NameRDI,SurnameYZ,namerdi@example.com,2022-11-19,East
43,NameTGC,SurnameGM,nametgc@example.com,2020-06-10,East
44,NameKXB,SurnameBD,namekxb@example.com,2021-10-26,South
45,NameLTD,SurnameIZ,nameltd@example.com,2021-01-05,South
46,NameLAK,SurnameFR,namelak@example.com,2020-01-14,South
47,NameSIR,SurnameSZ,namesir@example.com,2021-07-12,North
48,NameVSV,SurnameQO,namevsv@example.com,2021-06-10,West
49,NameKPG,SurnameQR,namekpg@example.com,2021-04-30,South
50,NameTJL,SurnameCV,nametjl@example.com,2022-01-07,North
51,NameUAZ,SurnameOE,nameuaz@example.com,2022-08-11,West
52,NameRXV,SurnameTD,namerxv@example.com,2022-01-26,South
53,NameWTQ,SurnamePE,namewtq@example.com,2021-09-25,South
54,NameLTC,SurnameRV,nameltc@example.com,2022-10-13,West
55,NameEKR,SurnameQZ,nameekr@example.com,2020-08-30,East
56,NameBDQ,SurnameVC,namebdq@example.com,2022-10-16,North
57,NameVMA,SurnameGG,namevma@example.com,2022-03-27,North
58,NameUSK,SurnameIL,nameusk@example.com,2020-07-10,South
59,NameKTN,SurnameKV,namektn@example.com,2022-11-11,North
60,NameEZF,SurnameAV,nameezf@example.com,2020-10-16,East
61,NameZLL,SurnameGX,namezll@example.com,2020-02-01,North
62,NameMAC,SurnameCY,namemac@example.com,2022-12-16,South
63,NameBHW,SurnameCK,namebhw@example.com,2020-02-24,West
64,NameXFZ,SurnameSU,namexfz@example.com,2020-02-26,North
65,NameXTQ,SurnameVR,namextq@example.com,2022-09-24,South
66,NameRRH,SurnameJQ,namerrh@example.com,2021-07-12,South
67,NameELP,SurnameZW,nameelp@example.com,2020-07-06,South
68,NameRUK,SurnameCZ,nameruk@example.com,2020-01-27,East
